rank,name,group,gender,type
260,설린,트리플에스,Female,Solo
261,김채원,트리플에스,Female,Solo
262,코코,izna,Female,Solo
263,유사랑,izna,Female,Solo
264,최정은,izna,Female,Solo
265,정세비,izna,Female,Solo
266,이이다 시즈쿠,ME:I,Female,Solo
267,야마모토 스즈,ME:I,Female,Solo
268,아이아,BINI,Female,Solo
269,콜렛,BINI,Female,Solo
270,그웬,BINI,Female,Solo
271,시나,BINI,Female,Solo
272,스테이시,BINI,Female,Solo
273,나고미,메이딘,Female,Solo
274,세리나,메이딘,Female,Solo
275,수혜,메이딘,Female,Solo
276,가원,MEOVV,Female,Solo
277,수인,MEOVV,Female,Solo
278,안나,MEOVV,Female,Solo
279,아이타 린,IS:SUE,Female,Solo
280,타나카 유우키,IS:SUE,Female,Solo
281,유하,하츠투하츠,Female,Solo
282,주은,하츠투하츠,Female,Solo
283,예온,하츠투하츠,Female,Solo
